"Rank";"Country/Territory";"Capital";"Population"
1;"Japan";"Tokyo";13185502
2;"South Korea";"Seoul";10464051
3;"Russia";"Moscow";10126424
4;"Iran";"Tehran";9110347
5;"Mexico";"Mexico City";8841916
6;"Indonesia";"Jakarta";8489910
7;"Peru";"Lima";7866160
8;"China";"Beijing";7741274
9;"Egypt";"Cairo";7438376
10;"United Kingdom";"London";7287555
11;"Colombia";"Bogotá";7220971
12;"Iraq";"Baghdad";7216040
13;"Hong Kong (People's Republic of China)";"Hong Kong";6752001
14;"Thailand";"Bangkok";6542751
15;"Bangladesh";"Dhaka";6080671
16;"Saudi Arabia";"Riyadh";5318636
17;"Chile";"Santiago, Chile";5012973
18;"Turkey";"Ankara";4650802
19;"Singapore";"Singapore";4408220
20;"Democratic Republic of the Congo";"Kinshasa";4385264
21;"Syria";"Damascus";3500000
22;"Germany";"Berlin";3405250
23;"Vietnam";"Hanoi";3398889
24;"Spain";"Madrid";3232463
25;"North Korea";"Pyongyang";3144005
26;"Afghanistan";"Kabul";3140853
27;"Argentina";"Buenos Aires";3021865
28;"Ethiopia";"Addis Ababa";2737479
29;"Kenya";"Nairobi";2665657
30;"Republic of China (Taiwan)";"Taipei";2619920
31;"Brazil";"Brasília";2606885
32;"Jordan";"Amman";2600603
33;"Ukraine";"Kiev";2591277
34;"Italy";"Rome";2503056
35;"Angola";"Luanda";2453779
36;"South Africa";"Pretoria";2345908
37;"Cuba";"Havana";2236837
38;"Uzbekistan";"Tashkent";2207850
39;"France";"Paris";2103674
40;"Azerbaijan";"Baku";1879251
41;"Romania";"Bucharest";1876857
42;"Dominican Republic";"Santo Domingo";1875453
43;"Venezuela";"Caracas";1838939
44;"Morocco";"Rabat";1789635
45;"Sudan";"Khartoum";1740661
46;"Hungary";"Budapest";1728718
47;"Poland";"Warsaw";1706724
48;"Belarus";"Minsk";1702061
49;"Philippines";"Manila";1660714
50;"Uganda";"Kampala";1659600
51;"Ghana";"Accra";1640507
52;"Cameroon";"Yaoundé";1616000
53;"Madagascar";"Antananarivo";1613375
54;"Lebanon";"Beirut";1574387
55;"Austria";"Vienna";1552789
56;"Algeria";"Algiers";1518083
57;"Ecuador";"Quito";1504991
58;"Zimbabwe";"Harare";1487028
59;"Yemen";"Sana'a";1431649
60;"Guinea";"Conakry";1399981
61;"Malaysia";"Kuala Lumpur";1381830
62;"Uruguay";"Montevideo";1369797
63;"Zambia";"Lusaka";1331254
64;"Somaliland";"Hargeisa";1300000
65;"Mali";"Bamako";1289626
66;"Haiti";"Port-au-Prince";1235227
67;"Czech Republic";"Prague";1227332
68;"Libya";"Tripoli";1184045
69;"Kuwait";"Kuwait City";1171880
70;"Serbia";"Belgrade";1124729
71;"Somalia";"Mogadishu";1097133
72;"Bulgaria";"Sofia";1090295
73;"Congo";"Brazzaville";1088044
74;"Belgium";"Brussels";1080790
75;"Armenia";"Yerevan";1080487
76;"Mozambique";"Maputo";1076689
77;"Sierra Leone";"Freetown";1070200
78;"Georgia";"Tbilisi";1044993
79;"Senegal";"Dakar";1030594
80;"Burkina Faso";"Ouagadougou";1005231
81;"Ireland";"Dublin";1045769
82;"Liberia";"Monrovia";1010970
83;"Guatemala";"Guatemala City";1103865
84;"Pakistan";"Islamabad";955629
85;"Nicaragua";"Managua";926883
86;"Myanmar";"Naypyidaw";925000
87;"Mongolia";"Ulan Bator";907802
88;"Malawi";"Lilongwe";902388
89;"Canada";"Ottawa";898150
90;"Kyrgyzstan";"Bishkek";843240
91;"Togo";"Lomé";824738
92;"Panama";"Panama City";813097
93;"Nepal";"Kathmandu";812026
